#{"t_start": 1692020210.5754473, "env_id": null}
r,l,t
20,17,418.422221
-80,22,418.523049
0,18,418.596568
60,15,418.654116
-200,28,418.802222
40,16,418.865918
-260,31,418.988869
60,15,419.083336
-100,23,419.163903
0,18,419.250765
-140,25,419.338999
0,18,419.427385
-140,25,419.521271
-100,23,419.616897
-80,22,419.695995
-360,36,419.893958
0,18,420.002037
-600,48,420.182033
0,18,420.262498
-180,27,420.356084
-120,24,420.451701
40,16,420.523233
-320,34,420.663552
-40,20,420.762567
20,17,420.838201
80,14,420.888878
-40,20,420.988388
-1390,86,421.329697
40,16,421.375827
20,17,437.653298
20,17,437.736004
-160,26,437.834916
20,17,437.901109
-100,23,438.024317
-40,20,438.097816
-260,31,438.2471
120,12,438.287184
-100,23,438.393611
-60,21,438.475825
-280,32,438.642387
40,16,438.706358
-140,25,438.818367
-100,23,438.941156
-460,41,439.097005
-80,22,439.202786
40,16,439.26881
-100,23,439.349931
60,15,439.42597
60,15,439.495519
100,13,439.569044
100,13,439.618944
-460,41,439.830958
-100,23,439.945629
-80,22,440.023014
20,17,440.109269
-80,22,440.212414
20,17,440.258892
-40,20,440.367715
-340,35,440.539833
0,18,440.631897
-180,27,440.724081
-460,41,440.917727
-320,34,441.04135
-180,27,441.165897
-60,21,441.22883
-60,21,441.354628
-460,41,441.483882
20,17,441.551698
-240,30,441.700709
-280,32,441.864048
40,16,441.929875
-180,27,442.049636
-180,27,442.175663
-80,22,442.31103
-220,29,442.421726
-100,23,442.545797
-970,65,442.828911
0,18,442.90781
60,15,442.963031
-20,19,443.063701
-220,29,443.152462
40,16,443.231937
-260,31,443.447639
40,16,443.528897
-120,24,443.656302
-100,23,443.758951
100,13,443.834347
-140,25,443.974503
-700,53,444.177388
20,17,444.259932
40,16,444.326189
-120,24,444.446593
-180,27,444.537021
-320,34,444.720392
-80,22,444.847862
120,12,444.898868
40,16,444.994489
-120,24,445.125573
-300,33,445.291389
20,17,445.373391
-60,21,445.485217
-460,41,445.614479
60,15,445.675745
-80,22,445.78333
-240,30,445.901301
60,15,445.974226
-640,50,446.168372
100,13,446.223836
-140,25,446.344624
40,16,446.400092
40,16,446.493649
-220,29,446.623599
120,12,446.74598
20,17,446.818455
60,15,446.887172
-40,20,446.972698
-100,23,463.082698
60,15,463.140858
-80,22,463.255372
60,15,463.327481
60,15,463.40981
-540,45,463.623704
0,18,463.713816
0,18,463.807511
-340,35,463.956947
-220,29,464.092674
-360,36,464.236724
-680,52,464.432867
100,13,464.48997
-240,30,464.675867
-120,24,464.784077
20,17,464.874655
-160,26,465.023413
80,14,465.063588
-600,48,465.295212
-140,25,465.394179
-260,31,465.560625
20,17,465.635271
-1100,73,465.962017
-40,20,466.068991
-340,35,466.229403
-40,20,466.297985
-60,21,466.386476
-120,24,466.463926
-80,22,466.570483
60,15,466.654637
-180,27,466.81672
-260,31,466.947763
80,14,467.051166
-240,30,467.204227
-420,39,467.402225
60,15,467.46072
100,13,467.534479
-60,21,467.630896
-300,33,467.734365
40,16,467.841414
20,17,467.906296
40,16,467.952763
-260,31,468.100743
-80,22,468.202279
20,17,468.260601
-680,52,468.446987
120,12,468.522269
-40,20,468.628983
-200,28,468.766956
40,16,468.825738
80,14,468.912511
-620,49,469.082669
-80,22,469.173591
-1010,52,469.374097
100,13,469.436518
80,14,469.50734
40,16,469.599676
40,16,469.668423
-20,19,469.741199
-260,31,469.874503
20,17,469.952919
-480,42,470.146087
-20,19,470.260913
-900,63,470.522693
80,14,470.580495
-360,36,470.743464
0,18,470.827225
-40,20,470.94264
-120,24,471.027917
-160,26,471.112688
120,12,471.161381
100,13,471.234249
0,18,471.323756
-1030,68,471.579676
80,14,471.631919
20,17,471.771233
-220,29,471.893975
-620,49,472.048703
-120,24,472.159693
100,13,472.220229
-300,33,489.342312
120,12,489.395041
-40,20,489.508368
20,17,489.570418
-400,38,489.707691
-40,20,489.791664
-20,19,489.914329
-80,22,490.007588
-40,20,490.127945
-40,20,490.215176
60,15,490.278579
-20,19,490.379086
-1010,67,490.721188
